"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명"
"지디펫","서울특별시 양천구 신정동 1183-30번지  통","서울특별시 양천구 중앙로43길 11 (신정동)","20090728","운영중","","","","","","","","","동물판매업"
"POSH","서울특별시 양천구 신정동 922-24번지","서울특별시 양천구 오목로 157 (신정동)","20100305","폐업 등","20170830","","","","0","","","","동물판매업"
"명품애견백화점","서울특별시 양천구 신월동 446-2번지 청솔상가 1층 102호103호104호","서울특별시 양천구 월정로 50 (신월동청솔상가 1층 102호103호104호)","20100608","폐업 등","20110328","","","","","","","","동물판매업"
"엣지독","서울특별시 양천구 신정동 118-19번지 목동그린빌라트 210","서울특별시 양천구 신목로16길 6 (신정동목동그린빌라트 210)","20110303","운영중","","","","","0","","","","동물판매업"
"애견동화","서울특별시 양천구 목동 234-1번지","서울특별시 양천구 목동중앙본로 56 (목동)","20110309","운영중","","","","","","","","","동물판매업"
"강아지목욕방","서울특별시 양천구 목동 714-12번지","서울특별시 양천구 목동중앙남로 77 (목동)","20110406","폐업 등","20110623","","","","","","","","동물판매업"
"우리들동물병원","서울특별시 양천구 목동 507-20번지 덕수프라자 105호","서울특별시 양천구 목동중앙북로 73 (목동덕수프라자 105호)","20110512","운영중","","","","","","","","","동물판매업"
"양천종합동물병원","서울특별시 양천구 신월동 444-11번지","서울특별시 양천구 오목로 45 (신월동)","20110512","운영중","","","","","","","","","동물판매업"
"닥터펫동물병원","서울특별시 양천구 목동 919-7번지 홈플러스 2층","서울특별시 양천구 목동서로 170 (목동홈플러스 2층)","20110512","운영중","","","","","","","","","동물판매업"
"리더스동물병원","서울특별시 양천구 신정동 117-37번지","서울특별시 양천구 신목로 78 (신정동)","20110512","운영중","","","","","","","","","동물판매업"
"강아지목욕방","서울특별시 양천구 목동 714-12번지","서울특별시 양천구 목동중앙남로 77 (목동)","20110701","폐업 등","20130419","","","","0","","","","동물판매업"
"리베의료센터","서울특별시 양천구 신정동 898-2번지","서울특별시 양천구 목동로 231 (신정동)","20111201","폐업 등","20150130","","","","","","","","동물판매업"
"참사랑동물병원","서울특별시 양천구 신정동 337-7번지 1층","서울특별시 양천구 목동남로4길 6-11 (신정동1층)","20111221","운영중","","","","","","","","","동물판매업"
"헬로우퍼피캣","서울특별시 양천구 신정동 1190-9번지","서울특별시 양천구 중앙로43길 6 (신정동)","20120222","운영중","","","","","0","","","","동물판매업"
"Hi-Dog","서울특별시 양천구 신월동 134-10번지","서울특별시 양천구 곰달래로5길 43-1 (신월동)","20120820","운영중","","","","","","","","","동물판매업"
"밀레펫(이마트 목동점)","서울특별시 양천구 목동 962번지 목동트라팰리스 지하 1층","서울특별시 양천구 오목로 299 (목동목동트라팰리스 지하 1층)","20120822","운영중","","","","","0","","","","동물판매업"
"(주)에이플러스 목동점","서울특별시 양천구 목동 919-7번지 홈플러스목동점","서울특별시 양천구 목동서로 170 홈플러스목동점 (목동)","20180501","운영중","","","","","0","","","","동물판매업"
"공주네 펫샵","서울특별시 양천구 목동 769-1번지 105호","서울특별시 양천구 목동중앙남로 21 105호 (목동)","20121204","운영중","","","","","0","","","","동물판매업"
"하나로클럽 목동점 수족관","서울특별시 양천구 목동 917-6번지 하나로클럽 목동점 수족관","서울특별시 양천구 목동동로 309 (목동하나로클럽 목동점 수족관)","20121211","운영중","","","","","0","","","","동물판매업"
"퍼피월드","서울특별시 양천구 신월동 534-25번지","서울특별시 양천구 신월로 191 (신월동)","20130222","폐업 등","20140108","","","","0","","","","동물판매업"
"오케이독","서울특별시 양천구 신정동 888-29번지 1층","서울특별시 양천구 목동로23길 3 1층 (신정동)","20130924","운영중","","","","","0","","","","동물판매업"
"개편한세상","서울특별시 양천구 신월동 59-18번지 1층","서울특별시 양천구 화곡로8길 3 1층 (신월동)","20140221","운영중","","","","","0","","","","동물판매업"
"럭셔리퍼피","서울특별시 양천구 목동 555-3번지 1층","서울특별시 양천구 목동중앙본로 88 1층 (목동)","20140324","폐업 등","20141027","","","","0","","","","동물판매업"
"러블리멍","서울특별시 양천구 신정동 903-28번지 1층","서울특별시 양천구 오목로 205 1층 (신정동)","20140407","폐업 등","20150323","","","","0","","","","동물판매업"
"맨투독(Man To Dog)","서울특별시 양천구 신월동 933-3번지 2층 202호","서울특별시 양천구 지양로 85 2층 (신월동 202호)","20140501","운영중","","","","","0","","","","동물판매업"
"리틀 독(Little Dog)","서울특별시 양천구 신월동 183-13번지 1층","서울특별시 양천구 남부순환로40길 82 1층 (신월동)","20140529","폐업 등","20141229","","","","0","","","","동물판매업"
"아쿠아플러스(주) GS 양천구청점","서울특별시 양천구 신정동 321-6번지 센트럴프라자 지하1층 GS마트","서울특별시 양천구 목동서로 349 (신정동 센트럴프라자 지하1층 GS마트)","20140912","폐업 등","20170227","","","","0","","","","동물판매업"
"서서울호수동물병원","서울특별시 양천구 신월동 130-5번지 1층","서울특별시 양천구 남부순환로 421 1층 (신월동)","20141223","운영중","","","","","0","","","","동물판매업"
"금쪽같은 강아지","서울특별시 양천구 목동 740-1번지 1층 3호","서울특별시 양천구 목동중앙본로7길 37 1층 3호 (목동)","20150225","운영중","","","","","0","","","","동물판매업"
"문종환 애견왕국","서울특별시 강서구 화곡동 343-0059번지","","20080627","폐업 등","20081022","","","","","","","","동물판매업"
"펍앤킷(PUP N KIT)","서울특별시 강서구 화곡동 982-0008번지","","20080703","폐업 등","20131030","","","","","","","","동물판매업"
"시온동물병원","서울특별시 강서구 화곡동 46-236번지","서울특별시 강서구 까치산로 74 (화곡동)","20080708","폐업 등","20080819","","","","","","","","동물판매업"
"코코애견","서울특별시 강서구 화곡동 379-37번지","서울특별시 강서구 강서로29길 69 (화곡동)","20080709","폐업 등","20110111","","","","","","","","동물판매업"
"투나애견","서울특별시 강서구 화곡동 357-26번지","서울특별시 강서구 월정로 124 (화곡동)","20080710","폐업 등","20150130","","","","0","","","","동물판매업"
"펫츠하우스(Pet's house)","서울특별시 강서구 화곡동 897-22번지","서울특별시 강서구 곰달래로 144 (화곡동)","20080715","폐업 등","20121218","","","","","","","","동물판매업"
"아이러브펫(I LOVE PET)","서울특별시 강서구 화곡동","서울특별시 강서구 곰달래로 52 (화곡동)","20080811","운영중","","","","","0","","","","동물판매업"
"달려라강아지","서울특별시 강서구 방화동 564-77번지","서울특별시 강서구 금낭화로 57 (방화동)","20110222","폐업 등","20140904","","","","","","","","동물판매업"
"우리집강아지","서울특별시 강서구 내발산동 671-31번지","서울특별시 강서구 우장산로 26 (내발산동)","20110607","폐업 등","20131216","","","","","","","","동물판매업"
"아프리카펫센터","서울특별시 강서구 등촌동","서울특별시 강서구 공항대로 335 (등촌동 경왕빌딩)","20110830","운영중","","","","","0","","","","동물판매업"
"아이러브독","서울특별시 강서구 화곡동 814-5번지","서울특별시 강서구 등촌로13길 53 (화곡동)","20120120","폐업 등","20120831","","","","","","","","동물판매업"
"로얄수족관","서울특별시 강서구 화곡동","서울특별시 강서구 국회대로 59 (화곡동 행남빌딩)","20120329","운영중","","","","","0","","","","동물판매업"
"강남애견 미용샵","서울특별시 강서구 화곡동","서울특별시 강서구 곰달래로 153 (화곡동)","20120430","폐업 등","20170724","","","","0","","","","동물판매업"
"밀레펫 공항점","서울특별시 강서구 과해동","서울특별시 강서구 하늘길 76 (과해동)","20120809","폐업 등","20140909","","","","0","","","","동물판매업"
"(주)밀레펫 가양점","서울특별시 강서구 가양동","서울특별시 강서구 양천로 559 (가양동 가양이마트)","20120813","운영중","","","","","0","","","","동물판매업"
"아쿠아플러스 강서점","서울특별시 강서구 등촌동 639-11번지","서울특별시 강서구 화곡로 398 (등촌동)","20120817","운영중","","","","","","","","","동물판매업"
"(주)에이플러스 가양점","서울특별시 강서구 가양동 18-24번지","서울특별시 강서구 양천로 431 (가양동)","20120822","운영중","","","","","","","","","동물판매업"
"강동수족관(롯데마트 김포공항점)","서울특별시 강서구 방화동","서울특별시 강서구 하늘길 38 (방화동 스카이시티)","20120904","운영중","","","","","0","","","","동물판매업"
"서서울동물병원","서울특별시 강서구 염창동","서울특별시 강서구 양천로 667 (염창동)","20130131","폐업 등","20151002","","","","0","","","","동물판매업"
"힐링퍼피","서울특별시 강서구 화곡동","서울특별시 강서구 강서로29길 27 (화곡동)","20131231","폐업 등","20170809","","","","0","","","","동물판매업"
"베스트 애견샵","서울특별시 강서구 방화동","서울특별시 강서구 개화동로 565 (방화동)","20140422","폐업 등","20150825","","","","0","","","","동물판매업"
"퍼피 앤 허니","서울특별시 강서구 화곡동","서울특별시 강서구 화곡로 241 (화곡동)","20140423","폐업 등","20160317","","","","0","","","","동물판매업"
"펫가든","서울특별시 강서구 방화동","서울특별시 강서구 하늘길 38 (방화동 스카이시티)","20140827","폐업 등","20150806","","","","0","","","","동물판매업"
"도그플러스 동물병원","서울특별시 강서구 등촌동","서울특별시 강서구 화곡로 398 (등촌동 삼성홈플러스강서점)","20141015","운영중","","","","","0","","","","동물판매업"
"올리브캣","서울특별시 강서구 방화동","서울특별시 강서구 방화동로 31 (방화동)","20141030","운영중","","","","","0","","","","동물판매업"
"강서YD동물의료센터","","서울특별시 강서구 화곡로 371 (등촌동)","20141224","운영중","","","","","0","","","","동물판매업"
