,사업장명,소재지전체주소,도로명전체주소,영업상태명,gu
129,(주)둘리정보통신,서울특별시 서초구 서초동 1445-13번지 쌍용프래티넘 417호,서울특별시 서초구 서초중앙로 18 (서초동),운영중,서초구
132,장광메딕스,서울특별시 서초구 서초동 1357-33번지 남성빌딩 307호,서울특별시 서초구 강남대로 283 307호 (서초동 남성빌딩),운영중,서초구
133,(주)유유엠,서울특별시 서초구 잠원동 46-9번지 303호,서울특별시 서초구 신반포로43길 11-11 303호 (잠원동),운영중,서초구
136,(주)메사메디칼,서울특별시 서초구 양재동 245-5번지,서울특별시 서초구 언남1길 4 201호 (양재동),운영중,서초구
137,(주)아이센스,서울특별시 서초구 서초동 1556-2번지,서울특별시 서초구 반포대로28길 43 (서초동),운영중,서초구
138,(주)타이렉스,서울특별시 서초구 양재동 6-18번지,서울특별시 서초구 논현로31길 14 (양재동),운영중,서초구
140,메디슨 코리아,서울특별시 서초구 서초동 1578-5번지 한성빌딩 3층 314호,서울특별시 서초구 사임당로 39 3층 314호 (서초동 한성빌딩),운영중,서초구
141,(주)펫닥,서울특별시 서초구 서초동 1355-26번지,서울특별시 서초구 서운로1길 34 2층 (서초동 한국산업기술진흥원),운영중,서초구
142,주식회사 바잇미,서울특별시 서초구 잠원동 29-1번지 호영빌딩 101호,서울특별시 서초구 강남대로95길 19-4 호영빌딩 1층 101호 (잠원동),운영중,강남구
149,(주)에이취브라더스,서울특별시 강남구 삼성동 142-6번지,,운영중,강남구
150,히타치아로카메디칼한국 주식회사,서울특별시 강남구 삼성동 166-4번지 준성빌딩 12 층,서울특별시 강남구 봉은사로108길 39 (삼성동),운영중,강남구
156,한국조에티스 주식회사,서울특별시 강남구 역삼동 823번지 풍림빌딩 5층,서울특별시 강남구 테헤란로 124 (역삼동),운영중,
157,(주)디트리커뮤니케이션즈,,서울특별시 강남구 압구정로 461 지하1층 B111호 (청담동),운영중,
159,지이헬스케어코리아(주),서울특별시 강남구 논현동 119번지 POBA강남타워 7층 8층,서울특별시 강남구 학동로 343 (논현동 POBA강남타워 7층 8층),운영중,성남시
160,지이헬스케어코리아(주),경기도 성남시 중원구 상대원동 119번지 POBA 강남타워 7층 8층,서울특별시 강남구 학동로 343 (논현동 POBA 강남타워 7층 8층),운영중,강남구
162,강화메디테크,서울특별시 강남구 수서동 724번지 로즈데일오피스텔 1612호,서울특별시 강남구 광평로 280 1612호 (수서동 로즈데일오피스텔),운영중,강남구
163,(주)한독,서울특별시 강남구 역삼동 735번지 15층,서울특별시 강남구 테헤란로 132 15층 (역삼동 한독약품빌딩),운영중,강남구
164,주식회사 레이투테크,서울특별시 강남구 세곡동 433-2번지,서울특별시 강남구 헌릉로569길 52-23 (세곡동),운영중,강남구
165,클라이네독,서울특별시 강남구 역삼동 824-29번지 225호,서울특별시 강남구 테헤란로8길 22 화인빌딩 225호 (역삼동),운영중,강남구
166,주식회사 핏펫,서울특별시 강남구 역삼동 683-34번지 새롬빌딩 2층,서울특별시 강남구 선릉로 551 새롬빌딩 2층 (역삼동),운영중,강남구
167,폴리파크 역삼점,서울특별시 강남구 역삼동 789-4번지 영빌딩,서울특별시 강남구 역삼로 150 영빌딩 (역삼동),운영중,송파구
169,(주)서광라보텍,,서울특별시 송파구 오금로 523 339동 28층 1호 (거여동 트리지움),운영중,송파구
173,(주)동광메디텍,서울특별시 송파구 삼전동 116-16번지 3층,서울특별시 송파구 백제고분로31길 19 (삼전동3층),운영중,송파구
175,세진교역,,서울특별시 송파구 가락로 41 403호 (석촌동 우암빌딩),운영중,송파구
177,주식회사 명인메디텍,서울특별시 송파구 문정동 634번지,서울특별시 송파구 충민로 66 에프-80098010호 (문정동 가든파이브라이프),운영중,
179,(주)바이오라이트,,서울특별시 송파구 충민로 66 T7141호 (문정동 가든파이브라이프테크노관),운영중,
180,대한의료인메디컬지원센터,,서울특별시 송파구 풍성로5길 6 2층 1호 (풍납동),운영중,
181,씨앤지,,서울특별시 송파구 충민로 66 T동 8층 8020호 (문정동 가든파이브라이프테크노관),운영중,
184,(주)아미고글로벌,,서울특별시 송파구 충민로 66 T동 8020호 (문정동 가든파이브라이프),운영중,
186,히포사이언스,,서울특별시 송파구 충민로 66 가든파이브라이프동 L6153호 (문정동 가든파이브라이프),운영중,
187,디엠옵티칼,,서울특별시 송파구 충민로 10 2층 D44호 (문정동 가든파이브툴),운영중,송파구
188,주식회사 코리아젠,서울특별시 송파구 문정동 634번지,서울특별시 송파구 충민로 66 제지2층 FB2073호 (문정동 가든파이브라이프),운영중,송파구
189,기프트 펫,서울특별시 송파구 장지동 894번지 위례아이파크 1층 상가-3동 C-113호,서울특별시 송파구 위례광장로 136 상가-3동 1층 C-113호 (장지동 위례아이파크),운영중,송파구
190,롯데쇼핑(주) 롯데마트사업본부,서울특별시 송파구 신천동 7-18번지 롯데캐슬골드 6층,서울특별시 송파구 올림픽로 269 6층 (신천동 롯데캐슬골드),운영중,송파구
191,주식회사 헬로,서울특별시 송파구 마천동 40-9번지 대우빌딩 3층,서울특별시 송파구 거마로 89 대우빌딩 3층 (마천동),운영중,강동구
192,주식회사 엔에이치농협무역,서울특별시 강동구 성내동,서울특별시 강동구 올림픽로48길 7 1층 (성내동 축협),운영중,강동구
195,기가메디칼,서울특별시 강동구 둔촌동 30-4번지 현대아파트 상가동 6호,서울특별시 강동구 동남로49길 63 현대아파트 상가동 2층 6호 (둔촌동),운영중,강동구
196,주식회사 한미메드라인,서울특별시 강동구 둔촌동 617-4번지,서울특별시 강동구 동남로49길 46-17 2층 (둔촌동),운영중,강동구
197,벳스몰,서울특별시 강동구 강일동 677-5번지 유러피안하우스2 1003호,서울특별시 강동구 아리수로91길 32-6 유러피안하우스2 (강일동),운영중,강동구
198,폴리파크 둔촌점,서울특별시 강동구 둔촌동 487번지 정원빌딩,서울특별시 강동구 양재대로 1404 정원빌딩 (둔촌동),운영중,강동구
199,한미메드,서울특별시 강동구 둔촌동 617-4번지,서울특별시 강동구 동남로49길 46-17 (둔촌동),운영중,
